@RELATION arm.n


@ATTRIBUTE sense {0001000, 0000100, 0000000, 1000010, 0000001, 1000000, 0000110, 0000010, 0010000}
@ATTRIBUTE #round{0,1}
@ATTRIBUTE #legs{0,1}
@ATTRIBUTE #straight{0,1}
@ATTRIBUTE #other{0,1}
@ATTRIBUTE #head{0,1}
@ATTRIBUTE #body{0,1}
@ATTRIBUTE #press{0,1}
@ATTRIBUTE #Slowly{0,1}
@ATTRIBUTE #upwards{0,1}
@ATTRIBUTE #shoulders{0,1}

@DATA
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,1,0,1,0,0,0,0,0,0
0000000,0,0,0,0,1,1,0,0,1,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,1,0,0,0,0,0,0
0000000,0,0,0,0,0,1,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,1,0,1,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,1,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,1,0,0,0,0,1,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,1,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,1,0,0,0,0
0000000,0,0,0,0,1,1,0,0,0,0
0000000,0,0,0,1,0,0,0,0,0,0
0000000,0,1,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,1,1,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,1,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,1,0,0,0,0,0,0,0,0
0000000,0,0,0,1,0,0,0,0,0,0
0000000,1,0,0,0,0,0,0,0,0,1
0000000,0,0,0,0,0,1,0,0,0,1
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,1,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,1,0,0,0,0
0000000,1,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,1,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,1,0,0,0,1,0,0,0
0000000,0,1,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,1,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,1,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,1,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,1,0,0,0,0,0,0,0,0,1
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,1,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,1,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,1,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
0000000,0,0,0,0,0,0,0,0,0,0
